# Total Pointers Found: 2313
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2313
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
81D0 | __text | 10370 | unknown | unknown_pointer | 
81D4 | __text | 10368 | byte_10368 | data_pointer | data_item_size=1
81E0 | __text | 10371 | unknown | unknown_pointer | 
842C | __text | 8434 | loc_8434 | code_pointer | inside_sub_7BC0
842C | __text | 11418 | off_11418 | data_pointer | data_item_size=8
8438 | __text | 10C98 | dword_10C98 | data_pointer | data_item_size=4
8440 | __text | 10C9C | dword_10C9C | data_pointer | data_item_size=4
8950 | __text | 10360 | byte_10360 | data_pointer | data_item_size=1
8958 | __text | 10360 | byte_10360 | data_pointer | data_item_size=1
8964 | __text | 10369 | asc_10369 | string_pointer | "؎Ӗ"
896C | __text | 10369 | asc_10369 | string_pointer | "؎Ӗ"
8970 | __text | 10361 | byte_10361 | data_pointer | data_item_size=1
8978 | __text | 1036A | unknown | unknown_pointer | 
897C | __text | 10362 | byte_10362 | data_pointer | data_item_size=1
8984 | __text | 1036B | unknown | unknown_pointer | 
8988 | __text | 10363 | byte_10363 | data_pointer | data_item_size=1
8990 | __text | 1036C | unknown | unknown_pointer | 
8994 | __text | 10364 | byte_10364 | data_pointer | data_item_size=1
89A0 | __text | 1036D | unknown | unknown_pointer | 
89A4 | __text | 10365 | byte_10365 | data_pointer | data_item_size=1
89B0 | __text | 1036E | unknown | unknown_pointer | 
89B4 | __text | 10366 | byte_10366 | data_pointer | data_item_size=1
89BC | __text | 1036F | unknown | unknown_pointer | 
89C0 | __text | 10367 | byte_10367 | data_pointer | data_item_size=1
89CC | __text | 10370 | unknown | unknown_pointer | 
89D0 | __text | 10368 | byte_10368 | data_pointer | data_item_size=1
89DC | __text | 10371 | unknown | unknown_pointer | 
8C20 | __text | 122A0 | off_122A0 | data_pointer | data_item_size=8
8C3C | __text | 8C58 | loc_8C58 | code_pointer | inside_sub_7BC0
8C3C | __text | 11428 | off_11428 | data_pointer | data_item_size=8
8C44 | __text | 12EF8 | unk_12EF8 | unknown_pointer | 
8C5C | __text | 10CA0 | dword_10CA0 | data_pointer | data_item_size=4
8C64 | __text | 10CA4 | dword_10CA4 | data_pointer | data_item_size=4
8CA0 | __text | 122B0 | off_122B0 | data_pointer | data_item_size=8
8CC4 | __text | 8CCC | loc_8CCC | code_pointer | inside_sub_7BC0
8CC4 | __text | 11478 | off_11478 | data_pointer | data_item_size=8
8CD0 | __text | 8CDC | loc_8CDC | code_pointer | inside_sub_7BC0
8CD0 | __text | 12330 | off_12330 | data_pointer | data_item_size=8
8CEC | __text | 12340 | off_12340 | data_pointer | data_item_size=8
8D18 | __text | 10CE0 | dword_10CE0 | data_pointer | data_item_size=4
8D20 | __text | 10CE4 | dword_10CE4 | data_pointer | data_item_size=4
8D60 | __text | 12350 | off_12350 | data_pointer | data_item_size=8
8D78 | __text | 8D80 | loc_8D80 | code_pointer | inside_sub_7BC0
8D78 | __text | 11498 | off_11498 | data_pointer | data_item_size=8
8D88 | __text | 8D94 | loc_8D94 | code_pointer | inside_sub_7BC0
8D88 | __text | 12368 | off_12368 | data_pointer | data_item_size=8
8D94 | __text | 10460 | stru_10460 | struct_pointer | struct_data
8DA0 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
8DA0 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
8DD0 | __text | 10CF0 | dword_10CF0 | data_pointer | data_item_size=4
8DD8 | __text | 10CF4 | dword_10CF4 | data_pointer | data_item_size=4
8E18 | __text | 12370 | off_12370 | data_pointer | data_item_size=8
8E38 | __text | 8E40 | loc_8E40 | code_pointer | inside_sub_7BC0
8E38 | __text | 114B8 | off_114B8 | data_pointer | data_item_size=8
8E44 | __text | 10CF8 | dword_10CF8 | data_pointer | data_item_size=4
8E4C | __text | 10CFC | dword_10CFC | data_pointer | data_item_size=4
8E8C | __text | 101A0 | classRef_NSDate | data_pointer | data_item_size=8
8E8C | __text | 12FC8 | _OBJC_CLASS_$_NSDate | unknown_pointer | 
8E90 | __text | 12380 | off_12380 | data_pointer | data_item_size=8
8EA8 | __text | FE15 | sel_date | string_pointer | "date"
8EA8 | __text | 10128 | selRef_date | data_pointer | data_item_size=8
8EB0 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
8EB0 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
8ED4 | __text | 10D00 | dword_10D00 | data_pointer | data_item_size=4
8EDC | __text | 10D04 | dword_10D04 | data_pointer | data_item_size=4
8F14 | __text | 12390 | off_12390 | data_pointer | data_item_size=8
8F34 | __text | 8F3C | loc_8F3C | code_pointer | inside_sub_7BC0
8F34 | __text | 11570 | off_11570 | data_pointer | data_item_size=8
8F40 | __text | 10D40 | dword_10D40 | data_pointer | data_item_size=4
8F48 | __text | 10D44 | dword_10D44 | data_pointer | data_item_size=4
8F7C | __text | 12420 | off_12420 | data_pointer | data_item_size=8
8FA4 | __text | 8FAC | loc_8FAC | code_pointer | inside_sub_7BC0
8FA4 | __text | 11578 | off_11578 | data_pointer | data_item_size=8
8FB0 | __text | 10D48 | dword_10D48 | data_pointer | data_item_size=4
8FB8 | __text | 10D4C | dword_10D4C | data_pointer | data_item_size=4
9008 | __text | 12430 | off_12430 | data_pointer | data_item_size=8
9020 | __text | 10CC0 | dword_10CC0 | data_pointer | data_item_size=4
9028 | __text | 10CC4 | dword_10CC4 | data_pointer | data_item_size=4
905C | __text | 12300 | off_12300 | data_pointer | data_item_size=8
9078 | __text | 9074 | loc_9074 | code_pointer | inside_sub_7BC0
9078 | __text | 11588 | off_11588 | data_pointer | data_item_size=8
909C | __text | 90A4 | loc_90A4 | code_pointer | inside_sub_7BC0
909C | __text | 11598 | off_11598 | data_pointer | data_item_size=8
90A8 | __text | 10D58 | dword_10D58 | data_pointer | data_item_size=4
90B0 | __text | 10D5C | dword_10D5C | data_pointer | data_item_size=4
90F4 | __text | 12450 | off_12450 | data_pointer | data_item_size=8
910C | __text | 9108 | loc_9108 | code_pointer | inside_sub_7BC0
910C | __text | 11538 | off_11538 | data_pointer | data_item_size=8
9124 | __text | 912C | loc_912C | code_pointer | inside_sub_7BC0
9124 | __text | 11548 | off_11548 | data_pointer | data_item_size=8
9130 | __text | 10D28 | dword_10D28 | data_pointer | data_item_size=4
9138 | __text | 10D2C | dword_10D2C | data_pointer | data_item_size=4
9168 | __text | 123F0 | off_123F0 | data_pointer | data_item_size=8
91A0 | __text | 10320 | stru_10320 | struct_pointer | struct_data
91B0 | __text | 91B8 | loc_91B8 | code_pointer | inside_sub_7BC0
91B0 | __text | 11430 | off_11430 | data_pointer | data_item_size=8
91BC | __text | 10CA8 | dword_10CA8 | data_pointer | data_item_size=4
91C4 | __text | 10CAC | dword_10CAC | data_pointer | data_item_size=4
9214 | __text | 10320 | stru_10320 | struct_pointer | struct_data
9224 | __text | 122C0 | off_122C0 | data_pointer | data_item_size=8
923C | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
923C | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
9244 | __text | FEF9 | sel_valueForKey: | string_pointer | "valueForKey:"
9244 | __text | 10188 | selRef_valueForKey: | data_pointer | data_item_size=8
9248 | __text | 10440 | stru_10440 | struct_pointer | struct_data
9268 | __text | 104A0 | stru_104A0 | struct_pointer | struct_data
9270 | __text | 104C0 | cfstr_OEE | struct_pointer | struct_data
927C | __text | 10CB0 | dword_10CB0 | data_pointer | data_item_size=4
9284 | __text | 10CB4 | dword_10CB4 | data_pointer | data_item_size=4
92C0 | __text | 122D0 | off_122D0 | data_pointer | data_item_size=8
92DC | __text | 92D8 | loc_92D8 | code_pointer | inside_sub_7BC0
92DC | __text | 11590 | off_11590 | data_pointer | data_item_size=8
92E8 | __text | 10D50 | dword_10D50 | data_pointer | data_item_size=4
92F0 | __text | 10D54 | dword_10D54 | data_pointer | data_item_size=4
9330 | __text | 12440 | off_12440 | data_pointer | data_item_size=8
934C | __text | 12280 | off_12280 | data_pointer | data_item_size=8
9368 | __text | 122F0 | off_122F0 | data_pointer | data_item_size=8
9380 | __text | 10D20 | dword_10D20 | data_pointer | data_item_size=4
9388 | __text | 10D24 | dword_10D24 | data_pointer | data_item_size=4
93BC | __text | 123E0 | off_123E0 | data_pointer | data_item_size=8
93D8 | __text | 93E0 | loc_93E0 | code_pointer | inside_sub_7BC0
93D8 | __text | 11400 | off_11400 | data_pointer | data_item_size=8
93E4 | __text | 10C88 | dword_10C88 | data_pointer | data_item_size=4
93EC | __text | 10C8C | dword_10C8C | data_pointer | data_item_size=4
9424 | __text | 12270 | off_12270 | data_pointer | data_item_size=8
944C | __text | FE6B | sel_longLongValue | string_pointer | "longLongValue"
944C | __text | 10158 | selRef_longLongValue | data_pointer | data_item_size=8
9454 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
9454 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
9474 | __text | 10CD0 | dword_10CD0 | data_pointer | data_item_size=4
947C | __text | 10CD4 | dword_10CD4 | data_pointer | data_item_size=4
94BC | __text | 12320 | off_12320 | data_pointer | data_item_size=8
94D4 | __text | 94DC | loc_94DC | code_pointer | inside_sub_7BC0
94D4 | __text | 11460 | off_11460 | data_pointer | data_item_size=8
94E0 | __text | 10CC8 | dword_10CC8 | data_pointer | data_item_size=4
