# Total Pointers Found: 290
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 290
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
7CAC | __stubs | 8188 | __imp__close | import_pointer | import_entry
7CB4 | __stubs | 8050 | _connect_ptr | import_pointer | import_entry
7CB8 | __stubs | 8050 | _connect_ptr | import_pointer | import_entry
7CB8 | __stubs | 8190 | __imp__connect | import_pointer | import_entry
7CC0 | __stubs | 8058 | _fcntl_ptr | import_pointer | import_entry
7CC4 | __stubs | 8058 | _fcntl_ptr | import_pointer | import_entry
7CC4 | __stubs | 8198 | __imp__fcntl | import_pointer | import_entry
7CCC | __stubs | 8060 | _getgid_ptr | import_pointer | import_entry
7CD0 | __stubs | 8060 | _getgid_ptr | import_pointer | import_entry
7CD0 | __stubs | 81A0 | __imp__getgid | import_pointer | import_entry
7CD8 | __stubs | 8068 | _getpid_ptr | import_pointer | import_entry
7CDC | __stubs | 8068 | _getpid_ptr | import_pointer | import_entry
7CDC | __stubs | 81A8 | __imp__getpid | import_pointer | import_entry
7CE4 | __stubs | 8070 | _getuid_ptr | import_pointer | import_entry
7CE8 | __stubs | 8070 | _getuid_ptr | import_pointer | import_entry
7CE8 | __stubs | 81B0 | __imp__getuid | import_pointer | import_entry
7CF0 | __stubs | 8078 | _mach_vm_deallocate_ptr | import_pointer | import_entry
7CF4 | __stubs | 8078 | _mach_vm_deallocate_ptr | import_pointer | import_entry
7CF4 | __stubs | 81B8 | __imp__mach_vm_deallocate | import_pointer | import_entry
7CFC | __stubs | 8080 | _mach_vm_map_ptr | import_pointer | import_entry
7D00 | __stubs | 8080 | _mach_vm_map_ptr | import_pointer | import_entry
7D00 | __stubs | 81C0 | __imp__mach_vm_map | import_pointer | import_entry
7D08 | __stubs | 8088 | _semaphore_create_ptr | import_pointer | import_entry
7D0C | __stubs | 8088 | _semaphore_create_ptr | import_pointer | import_entry
7D0C | __stubs | 81C8 | __imp__semaphore_create | import_pointer | import_entry
7D14 | __stubs | 8090 | _semaphore_destroy_ptr | import_pointer | import_entry
7D18 | __stubs | 8090 | _semaphore_destroy_ptr | import_pointer | import_entry
7D18 | __stubs | 81D0 | __imp__semaphore_destroy | import_pointer | import_entry
7D20 | __stubs | 8098 | _semaphore_signal_ptr | import_pointer | import_entry
7D24 | __stubs | 8098 | _semaphore_signal_ptr | import_pointer | import_entry
7D24 | __stubs | 81D8 | __imp__semaphore_signal | import_pointer | import_entry
7D2C | __stubs | 80A0 | _semaphore_wait_ptr | import_pointer | import_entry
7D30 | __stubs | 80A0 | _semaphore_wait_ptr | import_pointer | import_entry
7D30 | __stubs | 81E0 | __imp__semaphore_wait | import_pointer | import_entry
7D38 | __stubs | 80A8 | _socket_ptr | import_pointer | import_entry
7D3C | __stubs | 80A8 | _socket_ptr | import_pointer | import_entry
7D3C | __stubs | 81E8 | __imp__socket | import_pointer | import_entry
7D44 | __stubs | 80B0 | _thread_switch_ptr | import_pointer | import_entry
7D48 | __stubs | 80B0 | _thread_switch_ptr | import_pointer | import_entry
7D48 | __stubs | 81F0 | __imp__thread_switch | import_pointer | import_entry
7D50 | __stubs | 80B8 | _vm_allocate_ptr | import_pointer | import_entry
7D54 | __stubs | 80B8 | _vm_allocate_ptr | import_pointer | import_entry
7D54 | __stubs | 81F8 | __imp__vm_allocate | import_pointer | import_entry
7D5C | __stubs | 80C0 | _vm_deallocate_ptr | import_pointer | import_entry
7D60 | __stubs | 80C0 | _vm_deallocate_ptr | import_pointer | import_entry
7D60 | __stubs | 8200 | __imp__vm_deallocate | import_pointer | import_entry
7D68 | __stubs | 80C8 | _write_ptr | import_pointer | import_entry
7D6C | __stubs | 80C8 | _write_ptr | import_pointer | import_entry
7D6C | __stubs | 8208 | __imp__write | import_pointer | import_entry
7D74 | __stub_helper | 8018 | off_8018 | data_pointer | data_item_size=8
7D80 | __stub_helper | 8010 | dyld_stub_binder_ptr | data_pointer | data_item_size=8
7D84 | __stub_helper | 8010 | dyld_stub_binder_ptr | data_pointer | data_item_size=8
7D84 | __stub_helper | 8150 | dyld_stub_binder | unknown_pointer | 
7DA8 | __stub_helper | 8020 | __OSSpinLockLockSlow_ptr | import_pointer | import_entry
7DB0 | __stub_helper | 7D8C | sub_7D8C | function_pointer | function_start
7DB0 | __stub_helper | 8020 | __OSSpinLockLockSlow_ptr | import_pointer | import_entry
7DD0 | __stub_helper | 7DD8 | dword_7DD8 | data_pointer | data_item_size=4
7DDC | __stub_helper | 7DE4 | dword_7DE4 | data_pointer | data_item_size=4
7DE8 | __stub_helper | 7DF0 | dword_7DF0 | data_pointer | data_item_size=4
7DF4 | __stub_helper | 7DFC | dword_7DFC | data_pointer | data_item_size=4
7E00 | __stub_helper | 7E08 | dword_7E08 | data_pointer | data_item_size=4
7E0C | __stub_helper | 7E14 | dword_7E14 | data_pointer | data_item_size=4
7E18 | __stub_helper | 7E20 | dword_7E20 | data_pointer | data_item_size=4
7E24 | __stub_helper | 7E2C | dword_7E2C | data_pointer | data_item_size=4
7E30 | __stub_helper | 7E38 | dword_7E38 | data_pointer | data_item_size=4
7E3C | __stub_helper | 7E44 | dword_7E44 | data_pointer | data_item_size=4
7E48 | __stub_helper | 7E50 | dword_7E50 | data_pointer | data_item_size=4
7E54 | __stub_helper | 7E5C | dword_7E5C | data_pointer | data_item_size=4
7E60 | __stub_helper | 7E68 | dword_7E68 | data_pointer | data_item_size=4
7E6C | __stub_helper | 7E74 | dword_7E74 | data_pointer | data_item_size=4
7E78 | __stub_helper | 7E80 | dword_7E80 | data_pointer | data_item_size=4
7E84 | __stub_helper | 7E8C | dword_7E8C | data_pointer | data_item_size=4
7E90 | __stub_helper | 7E98 | dword_7E98 | data_pointer | data_item_size=4
7E9C | __stub_helper | 7EA4 | dword_7EA4 | data_pointer | data_item_size=4
7EA8 | __stub_helper | 7EB0 | dword_7EB0 | data_pointer | data_item_size=4
7EB4 | __stub_helper | 7EBC | dword_7EBC | data_pointer | data_item_size=4
7EC0 | __stub_helper | 7EC8 | dword_7EC8 | data_pointer | data_item_size=4
8000 | __got | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
8008 | __got | 8160 | _sigprocmask | unknown_pointer | 
8010 | __got | 8150 | dyld_stub_binder | unknown_pointer | 
8020 | __la_symbol_ptr | 7D8C | sub_7D8C | function_pointer | function_start
8028 | __la_symbol_ptr | 8168 | __imp____error | import_pointer | import_entry
8030 | __la_symbol_ptr | 8170 | __imp____gettimeofday | import_pointer | import_entry
8038 | __la_symbol_ptr | 8178 | __imp____sendto | import_pointer | import_entry
8040 | __la_symbol_ptr | 8180 | __imp____sigreturn | import_pointer | import_entry
8048 | __la_symbol_ptr | 8188 | __imp__close | import_pointer | import_entry
8050 | __la_symbol_ptr | 8190 | __imp__connect | import_pointer | import_entry
8058 | __la_symbol_ptr | 8198 | __imp__fcntl | import_pointer | import_entry
8060 | __la_symbol_ptr | 81A0 | __imp__getgid | import_pointer | import_entry
8068 | __la_symbol_ptr | 81A8 | __imp__getpid | import_pointer | import_entry
8070 | __la_symbol_ptr | 81B0 | __imp__getuid | import_pointer | import_entry
8078 | __la_symbol_ptr | 81B8 | __imp__mach_vm_deallocate | import_pointer | import_entry
8080 | __la_symbol_ptr | 81C0 | __imp__mach_vm_map | import_pointer | import_entry
8088 | __la_symbol_ptr | 81C8 | __imp__semaphore_create | import_pointer | import_entry
8090 | __la_symbol_ptr | 81D0 | __imp__semaphore_destroy | import_pointer | import_entry
8098 | __la_symbol_ptr | 81D8 | __imp__semaphore_signal | import_pointer | import_entry
80A0 | __la_symbol_ptr | 81E0 | __imp__semaphore_wait | import_pointer | import_entry
80A8 | __la_symbol_ptr | 81E8 | __imp__socket | import_pointer | import_entry
80B0 | __la_symbol_ptr | 81F0 | __imp__thread_switch | import_pointer | import_entry
80B8 | __la_symbol_ptr | 81F8 | __imp__vm_allocate | import_pointer | import_entry
80C0 | __la_symbol_ptr | 8200 | __imp__vm_deallocate | import_pointer | import_entry
80C8 | __la_symbol_ptr | 8208 | __imp__write | import_pointer | import_entry
80D0 | __const | 7F9F | aSpin | string_pointer | "spin"
80D8 | __const | 765C | __os_lock_spin_lock | function_pointer | function_start
80E0 | __const | 7664 | __os_lock_spin_trylock | function_pointer | function_start
80E8 | __const | 7688 | __os_lock_spin_unlock | function_pointer | function_start
80F0 | __const | 7FA4 | aHandoff | string_pointer | "handoff"
80F8 | __const | 53F8 | __os_lock_handoff_lock | function_pointer | function_start
8100 | __const | 52FC | __os_lock_handoff_trylock | function_pointer | function_start
8108 | __const | 5338 | __os_lock_handoff_unlock | function_pointer | function_start
8110 | __data | 7F6B | aUnknown | string_pointer | "unknown"
8118 | __data | 7F4F | aVarRunSyslog | string_pointer | "/var/run/syslog"
