# Total Pointers Found: 1054
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 1054
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
803C | __text | 22018 | _NDR_record | struct_pointer | struct_data
8044 | __text | 22018 | _NDR_record | struct_pointer | struct_data
82CC | __text | 22018 | _NDR_record | struct_pointer | struct_data
82D4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8430 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8438 | __text | 22018 | _NDR_record | struct_pointer | struct_data
855C | __text | 22018 | _NDR_record | struct_pointer | struct_data
8564 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8680 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8688 | __text | 22018 | _NDR_record | struct_pointer | struct_data
87E0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
87E8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8954 | __text | 22018 | _NDR_record | struct_pointer | struct_data
895C | __text | 22018 | _NDR_record | struct_pointer | struct_data
8A68 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8A70 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8B98 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8BA0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8E04 | __text | 22018 | _NDR_record | struct_pointer | struct_data
8E0C | __text | 22018 | _NDR_record | struct_pointer | struct_data
9060 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9068 | __text | 22018 | _NDR_record | struct_pointer | struct_data
98F0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
98F8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9A74 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9A9C | __text | 22018 | _NDR_record | struct_pointer | struct_data
9C20 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9C2C | __text | 22018 | _NDR_record | struct_pointer | struct_data
9D40 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9D48 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9E4C | __text | 22018 | _NDR_record | struct_pointer | struct_data
9E54 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9F58 | __text | 22018 | _NDR_record | struct_pointer | struct_data
9F60 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A064 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A06C | __text | 22018 | _NDR_record | struct_pointer | struct_data
A170 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A178 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A27C | __text | 22018 | _NDR_record | struct_pointer | struct_data
A284 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A608 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A620 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A798 | __text | 22018 | _NDR_record | struct_pointer | struct_data
A7A0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
AFD4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
AFEC | __text | 22018 | _NDR_record | struct_pointer | struct_data
B2AC | __text | 22018 | _NDR_record | struct_pointer | struct_data
