# Total Pointers Found: 2222
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2222
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
640C | __text | E1F8 | selRef_onOTRApplicationDidBecomeActiveNotification: | data_pointer | data_item_size=8
6414 | __text | C008 | _UIApplicationDidBecomeActiveNotification_ptr | data_pointer | data_item_size=8
6414 | __text | EA50 | _UIApplicationDidBecomeActiveNotification | data_pointer | data_item_size=8
6418 | __text | EA50 | _UIApplicationDidBecomeActiveNotification | data_pointer | data_item_size=8
6420 | __text | A059 | sel_addObserver:selector:name:object: | string_pointer | "addObserver:selector:name:object:"
6420 | __text | E200 | selRef_addObserver:selector:name:object: | data_pointer | data_item_size=8
6434 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
6434 | __text | E950 | _OBJC_CLASS_$_NSNotificationCenter | unknown_pointer | 
6444 | __text | A07B | sel_onOTRCheckService: | string_pointer | "onOTRCheckService:"
6444 | __text | E208 | selRef_onOTRCheckService: | data_pointer | data_item_size=8
6448 | __text | C4D0 | cfstr_NotificationCh | struct_pointer | struct_data
6464 | __text | A08E | sel_loadConfig | string_pointer | "loadConfig"
6464 | __text | E210 | selRef_loadConfig | data_pointer | data_item_size=8
6498 | __text | E598 | _OBJC_IVAR_$_OTRAppObject._serviceIsRuning | data_pointer | data_item_size=4
64A0 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
64A4 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
64A4 | __text | E950 | _OBJC_CLASS_$_NSNotificationCenter | unknown_pointer | 
64AC | __text | A01E | sel_defaultCenter | string_pointer | "defaultCenter"
64AC | __text | E1F0 | selRef_defaultCenter | data_pointer | data_item_size=8
64BC | __text | A099 | sel_onOTRCheckService2: | string_pointer | "onOTRCheckService2:"
64BC | __text | E218 | selRef_onOTRCheckService2: | data_pointer | data_item_size=8
64C4 | __text | A059 | sel_addObserver:selector:name:object: | string_pointer | "addObserver:selector:name:object:"
64C4 | __text | E200 | selRef_addObserver:selector:name:object: | data_pointer | data_item_size=8
64C8 | __text | C4F0 | cfstr_NotificationCh_0 | struct_pointer | struct_data
64E0 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
64E0 | __text | E950 | _OBJC_CLASS_$_NSNotificationCenter | unknown_pointer | 
64F0 | __text | A0AD | sel_postNotificationName:object: | string_pointer | "postNotificationName:object:"
64F0 | __text | E220 | selRef_postNotificationName:object: | data_pointer | data_item_size=8
64F4 | __text | C4D0 | cfstr_NotificationCh | struct_pointer | struct_data
6504 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
6504 | __text | E950 | _OBJC_CLASS_$_NSNotificationCenter | unknown_pointer | 
6514 | __text | A0CA | sel_removeObserver:name:object: | string_pointer | "removeObserver:name:object:"
6514 | __text | E228 | selRef_removeObserver:name:object: | data_pointer | data_item_size=8
654C | __text | E4F0 | classRef_OTRAppService | data_pointer | data_item_size=8
654C | __text | E648 | _OBJC_CLASS_$_OTRAppService | struct_pointer | struct_data
6554 | __text | 9DC5 | sel_sharedSingleton | string_pointer | "sharedSingleton"
6554 | __text | E120 | selRef_sharedSingleton | data_pointer | data_item_size=8
